Stock_Take_Transaction_ID,ST_Year,Material_Item_ID,Stock_Take_Comment,Material_Length_Measured_m,Length_Measured_Indicator,Material_Width_Measured_m,Width_Measured_Indicator,Material_Full_Units_Counted,Full_Units_Counted_Indicator,Material_Quantity_Scrapped,Material_Scrapped_Indicator,Material_Unit_Price_incl_VAT,Unit_Price_Available_Indicator,VAT_Decimal,VAT_Percentage,Material_Source_Quantity_on_Hand_Value_excl_VAT,Stock_Take_Date_Key,Material_Item_Key,Material_Item_Standard_Length_mm,Material_Item_Standard_Width_or_Diameter_mm,Material_Item_Quantity_Unit_of_Measure,Stock_Take_Indicators_Key,Import_Action,Effective_Date,IBPT_ID,Material_Unit_Price_excl_VAT,Material_Quantity_Counted,Material_Quantity_on_Hand,Material_Value_Scrapped_excl_VAT,Material_Value_on_Hand_excl_VAT,ErrorCode,ErrorColumn,ErrorDescription
ST2021130,2021,BRS00026,*None,19.165,Length measured,,No width measured,,No full units counted,,No material scrapped,45.03,Unit price available,.14,14%,757.01750000000004,20210101,130,-1.00,8.00,m,1,Insert,2021/12/01,9,39.5,19.165000000000000,19.164999999999999,0,757.01749999999993,-1071607683,0,The data value violates integrity constraints.

ST2021131,2021,BRS00027,*None,16.605,Length measured,,No width measured,,No full units counted,,No material scrapped,53.15,Unit price available,.14,14%,774.17171050000002,20210101,131,-1.00,10.00,m,1,Insert,2021/12/01,9,46.622807017543863,16.605000000000000,16.605,0,774.17171052631591,-1071607683,0,The data value violates integrity constraints.

ST2021132,2021,BRS00028,*None,19.290,Length measured,,No width measured,,No full units counted,,No material scrapped,76.17,Unit price available,.14,14%,1288.876579,20210101,132,-1.00,12.00,m,1,Insert,2021/12/01,9,66.815789473684205,19.290000000000000,19.289999999999999,0,1288.8765789473682,-1071607683,0,The data value violates integrity constraints.

ST2021133,2021,BRS00029,*None,10.275,Length measured,,No width measured,,No full units counted,,No material scrapped,104.09,Unit price available,.14,14%,938.17960530000005,20210101,133,-1.00,14.00,m,1,Insert,2021/12/01,9,91.307017543859644,10.275000000000000,10.275,0,938.1796052631579,-1071607683,0,The data value violates integrity constraints.

ST2021134,2021,BRS00030,*None,13.765,Length measured,,No width measured,,No full units counted,,No material scrapped,170.62,Unit price available,.14,14%,2060.1616669999999,20210101,134,-1.00,16.00,m,1,Insert,2021/12/01,9,149.66666666666666,13.765000000000000,13.765000000000001,0,2060.1616666666664,-1071607683,0,The data value violates integrity constraints.

