M_Year,M_Material_Item_ID,M_Material_Type,M_Material_Item_Category,M_Material_Item_Detail_1,M_Material_Item_Detail_2,M_Material_Item_Size,M_Material_Item_Size_Unit_Of_Measure,M_Material_Item_Size_Note,M_Material_Item_Standard_Length_mm,M_Material_Item_Standard_Width_or_Diameter_mm,M_Material_Item_Standard_Height_mm,M_Material_Item_Standard_Interior_Diameter_mm,M_Material_Item_Standard_Thinkness_or_Wall_mm,M_Material_Item_Quantity_Unit_of_Measure,M_Material_Group,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
2021,GLS00060,Glass,Stopcock,Single way,PTFE,14.5 / 4,*None,*None,-1.00,-1.00,-1.00,-1.00,-1.00,each,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00097,Mild steel,Tubing,Round,*None,38 x 35 x 1.5,mm,*None,-1.00,38.00,-1.00,35.00,1.50,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00006,Tufnol,Sheet,*None,*None,8.34,mm,*None,-1.00,-1.00,-1.00,-1.00,8.34,m²,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00001,Mild steel,Angle iron,*None,*None,20 x 20 x 2,mm,*None,-1.00,20.00,20.00,-1.00,2.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00070,Stainless steel,Tubing,Hydraulic,*None,12.7 x 1.2,mm,*None,-1.00,12.70,-1.00,-1.00,1.20,m,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00115,Mild steel,Tubing,Square,*None,20 x 20 x 1.6,mm,*None,-1.00,20.00,20.00,-1.00,1.60,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,TFL00001,Teflon,Bar,Round,*None,6,mm,*None,-1.00,6.00,-1.00,-1.00,-1.00,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00018,PVC,Sheet,*None,*None,3,mm,*None,1000.00,2000.00,-1.00,-1.00,3.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00019,PVC,Sheet,*None,*None,4,mm,*None,1000.00,2000.00,-1.00,-1.00,4.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00014,PVC,Rod,*None,*None,90,mm,*None,-1.00,90.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00045,Aluminium,Sheet,*None,*None,1,mm,*None,2500.00,1250.00,-1.00,-1.00,1.00,m²,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00021,PVC,Sheet,*None,*None,6,mm,*None,1000.00,2000.00,-1.00,-1.00,6.00,m²,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00089,Mild steel,Tubing,Rectangular,*None,76 x 38 x 2.0,mm,*None,-1.00,76.00,38.00,-1.00,2.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00073,Glass,Tubing,Boro,*None,12 x 1.5,mm,*None,-1.00,12.00,-1.00,-1.00,1.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00107,Glass,Tubing,Boro,*None,65 x 2.2,mm,*None,-1.00,65.00,-1.00,-1.00,2.20,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00018,Mild steel,Bar,Flat,*None,25 x 5,mm,*None,-1.00,25.00,-1.00,-1.00,5.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00034,Mild steel,Bar,Flat,*None,60 x 16,mm,*None,-1.00,60.00,-1.00,-1.00,16.00,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,BRS00053,Brass,Sheet,*None,*None,8,mm,*None,2000.00,1000.00,-1.00,-1.00,8.00,m²,Brass,5,-1071607683,0,The data value violates integrity constraints.

2021,SST00043,Stainless steel,Sheet,*None,*None,0.5,mm,*None,2500.00,1250.00,-1.00,-1.00,.50,m²,Stainless steel,5,-1071607683,0,The data value violates integrity constraints.

2021,ALM00025,Aluminium,Bar,Round,*None,16,mm,*None,-1.00,16.00,-1.00,-1.00,-1.00,m,Aluminium,5,-1071607683,0,The data value violates integrity constraints.

2021,PVC00003,PVC,Rod,*None,*None,8,mm,*None,-1.00,8.00,-1.00,-1.00,-1.00,m,PVC,5,-1071607683,0,The data value violates integrity constraints.

2021,GLS00103,Glass,Tubing,Boro,*None,54 x 2.5,mm,*None,-1.00,54.00,-1.00,-1.00,2.50,m,Glass,5,-1071607683,0,The data value violates integrity constraints.

2021,MST00087,Mild steel,Tubing,Rectangular,*None,38 x 25 x 1.6,mm,*None,-1.00,38.00,25.00,-1.00,1.60,m,Mild steel,5,-1071607683,0,The data value violates integrity constraints.

2021,TFN00018,Tufnol,Tubing,*None,*None,63 x 50,mm,*None,-1.00,63.00,-1.00,50.00,13.00,m,Tufnol/Teflon,5,-1071607683,0,The data value violates integrity constraints.

