ST_Transaction_ID,ST_Year,ST_Material_Item_ID,ST_Stock_Take_Comment,ST_Length_Measured_m,ST_Width_Measured_m,ST_Full_Units_Counted,ST_Quantity_Scrapped,ST_Unit_Price_incl_VAT,ST_Source_Quantity_on_Hand_Value_excl_VAT,ST_VAT_Decimal,ST_Length_Measured_Indicator,ST_Width_Measured_Indicator,ST_Full_Units_Counted_Indicator,ST_Material_Scrapped_Indicator,ST_Unit_Price_Available_Indicator,ST_VAT_Percentage,IBPT_ID,ErrorCode,ErrorColumn,ErrorDescription
ST202166,2021,MST00029,*None,5.530,,,,33.62,163.08649120000001,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202167,2021,MST00030,*None,11.340,,,,44.76,445.24421050000001,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202168,2021,MST00031,*None,24.125,,,,55.80,1180.8552629999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202169,2021,MST00032,*None,1.040,,,,53.60,48.898245609999996,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202170,2021,MST00033,*None,6.100,,,,53.60,286.80701749999997,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202171,2021,MST00034,*None,1.195,,,,53.60,56.185964910000003,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202172,2021,MST00035,*None,2.185,,,,53.61,102.7525,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202173,2021,MST00036,*None,6.005,,,,129.72,683.30578949999995,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202174,2021,MST00037,*None,6.430,,,,69.11,389.80464910000001,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202175,2021,MST00038,*None,6.000,,,,86.66,456.10526320000002,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202176,2021,MST00039,*None,6.950,,,,108.21,659.70131579999997,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202177,2021,SST00006,No Unit Price available,.745,,,,,0,.14,Length measured,No width measured,No full units counted,No material scrapped,No unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202178,2021,SST00007,*None,12.930,,,,10.61,120.3964474,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202179,2021,SST00008,*None,8.970,,,,55.63,437.72026319999998,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202180,2021,SST00009,*None,4.400,,,,110.80,427.64912279999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202181,2021,SST00010,*None,1.325,,,,202.92,235.84999999999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202182,2021,ALM00017,*None,.720,,,,29.64,18.719999999999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202183,2021,BRS00016,*None,18.095,,,,25.00,396.82017539999998,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202184,2021,BRS00017,*None,3.980,,,,25.65,89.549999999999997,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202185,2021,BRS00018,*None,1.400,,,,37.81,46.433333330000004,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202186,2021,BRS00019,*None,.910,,,,37.81,30.181666669999998,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202187,2021,BRS00020,*None,.000,,,,45.60,0,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

ST202188,2021,BRS00021,*None,8.075,,,,53.20,376.83333329999999,.14,Length measured,No width measured,No full units counted,No material scrapped,Unit price available,14%,6,-1071607683,0,The data value violates integrity constraints.

