Year,Item ID,Material,Item Category,Item Detail 1,Item Detail 2,Item Size,Size Unit of Measure,Size Note,Comment,Standard Length (mm),Standard Width or Diameter (mm),Standard Height (mm),Standard Interior Diameter (mm),Standard Thinkness / Wall (mm),Item Length Measured (m),Item Width Measured (m),Full Units Counted,Quantity Unit of Measure,Quantity Scapped,Unit price incl VAT,VAT,Source Quantity on hand value excl VAT rounded
2020,ALM00031,Aluminium,Bar,Round,,45,mm,,,,45,,,,1.87,,,m,,291.84,0.14,478.72
2020,ALM00032,Aluminium,Bar,Round,,51,mm,,,,51,,,,5.65,,,m,,347.7,0.14,1723.25
2020,BRS00024,Brass,Bar,Round,,5,mm,,,,5,,,,7.18,,,m,,14.82,0.14,93.34
2020,BRS00025,Brass,Bar,Round,,6,mm,,,,6,,,,0.87,,,m,,19.16,0.14,14.62210526
2020,BRS00026,Brass,Bar,Round,,8,mm,,,,8,,,,19.95,,,m,,45.03,0.14,788.025
2020,BRS00027,Brass,Bar,Round,,10,mm,,,,10,,,,19.72,,,m,,53.15,0.14,919.4017544
2020,BRS00028,Brass,Bar,Round,,12,mm,,,,12,,,,19.295,,,m,,76.17,0.14,1289.210658
2020,BRS00029,Brass,Bar,Round,,14,mm,,,,14,,,,10.48,,,m,,104.09,0.14,956.8975439
2020,BRS00030,Brass,Bar,Round,,16,mm,,,,16,,,,13.77,,,m,,170.62,0.14,2060.91
2020,BRS00031,Brass,Bar,Round,,20,mm,,,,20,,,,5.365,,,m,,199.5,0.14,938.875
2020,BRS00032,Brass,Bar,Round,,22,mm,,,,22,,,,8.07,,,m,,275.31,0.14,1948.905
2020,BRS00033,Brass,Bar,Round,,25,mm,,,,25,,,,11.015,,,m,,311.22,0.14,3007.095
2020,BRS00034,Brass,Bar,Round,,30,mm,,,,30,,,,1.165,,,m,,558.22,0.14,570.4616667
2020,BRS00035,Brass,Bar,Round,,32,mm,,,,32,,,,2.815,,,m,,642.68,0.14,1586.968596
2020,BRS00036,Brass,Bar,Round,,38,mm,,,,38,,,,1.47,,,m,,743.28,0.14,958.44
2020,BRS00037,Brass,Bar,Round,,40,mm,,,,40,,,,2.05,,,m,,992.18,0.14,1784.183333
2020,BRS00038,Brass,Bar,Round,,45,mm,,,,45,,,,2.685,,,m,,1200,0.14,2826.315789
2020,BRS00039,Brass,Bar,Round,,50,mm,,,,50,,,,1.965,,,m,,1581.56,0.14,2726.11
2020,MST00060,Mild steel,Bar,Round,,6,mm,,,,6,,,,2.035,,,m,,4.67,0.14,8.336359649
2020,MST00061,Mild steel,Bar,Round,,8,mm,,,,8,,,,1.46,,,m,,7.71,0.14,9.874210526
2020,MST00062,Mild steel,Bar,Round,,10,mm,,,,10,,,,36,,,m,,11.68,0.14,368.8421053
2020,MST00063,Mild steel,Bar,Round,,12,mm,,,,12,,,,2.395,,,m,,16.95,0.14,35.60986842
2020,PTL00001,Polyethylene,Bar,Round,,20,mm,,No Unit Price available,,20,,,,0,,,m,,,0.14,0
2020,PTL00002,Polyethylene,Bar,Round,,25,mm,,No Unit Price available,,25,,,,0,,,m,,,0.14,0
2020,NYL00001,Nylatron,Bar,Round,,50,mm,,,,50,,,,0.975,,,m,,430.75,0.14,368.4046053
2020,PPL00001,Polypropylene,Bar,Round,,10,mm,,,,10,,,,4,,,m,,13.96,0.14,48.98245614
2020,PPL00002,Polypropylene,Bar,Round,,15,mm,,,,15,,,,1.2,,,m,,35.11,0.14,36.95789474
2020,PPL00003,Polypropylene,Bar,Round,,25,mm,,,,25,,,,0.48,,,m,,71.12,0.14,29.94526316
2020,PPL00004,Polypropylene,Bar,Round,,30,mm,,,,30,,,,0.585,,,m,,113.65,0.14,58.32039474
2020,PPL00005,Polypropylene,Bar,Round,,35,mm,,,,35,,,,0.215,,,m,,146.06,0.14,27.54640351
2020,PPL00006,Polypropylene,Bar,Round,,40,mm,,,,40,,,,0.42,,,m,,172.01,0.14,63.37210526
2020,PPL00007,Polypropylene,Bar,Round,,50,mm,,,,50,,,,0.64,,,m,,316.04,0.14,177.4259649
2020,PPL00008,Polypropylene,Bar,Round,,60,mm,,,,60,,,,0,,,m,,407.03,0.14,0
2020,PPL00009,Polypropylene,Bar,Round,,90,mm,,,,90,,,,0,,,m,,1154,0.14,0
2020,SST00012,Stainless steel,Bar,Round,,2.5,mm,,,,2.5,,,,123.83,,,m,,1.88,0.14,204.2108772
2020,SST00013,Stainless steel,Bar,Round,,3,mm,,,,3,,,,94.18,,,m,,9.63,0.14,795.5731579
2020,SST00014,Stainless steel,Bar,Round,,3.5,mm,,,,3.5,,,,0,,,m,,2.8,0.14,0
2020,SST00015,Stainless steel,Bar,Round,,4,mm,,,,4,,,,27.935,,,m,,5.13,0.14,125.7075
2020,SST00016,Stainless steel,Bar,Round,,5,mm,,,,5,,,,32.815,,,m,,6.84,0.14,196.89
2020,SST00017,Stainless steel,Bar,Round,,6,mm,,,,6,,,,10.09,,,m,,12.49,0.14,110.5474561
2020,SST00018,Stainless steel,Bar,Round,,8,mm,,,,8,,,,14.955,,,m,,18.24,0.14,239.28
2020,SST00019,Stainless steel,Bar,Round,,10,mm,,,,10,,,,16.71,,,m,,30.78,0.14,451.17
2020,SST00020,Stainless steel,Bar,Round,,12,mm,,,,12,,,,9.04,,,m,,43.32,0.14,343.52
2020,SST00021,Stainless steel,Bar,Round,,12.7,mm,,,,12.7,,,,0,,,m,,43.32,0.14,0
2020,SST00022,Stainless steel,Bar,Round,,16,mm,,,,16,,,,13.41,,,m,,75.24,0.14,885.06
2020,SST00023,Stainless steel,Bar,Round,,20,mm,,,,20,,,,9.43,,,m,,119.7,0.14,990.15
2020,SST00024,Stainless steel,Bar,Round,,22,mm,,,,22,,,,2.82,,,m,,165.3,0.14,408.9
2020,SST00025,Stainless steel,Bar,Round,,24,mm,,,,24,,,,1.365,,,m,,177.84,0.14,212.94
2020,SST00026,Stainless steel,Bar,Round,,25,mm,,,,25,,,,6.565,,,m,,212.04,0.14,1221.09
2020,SST00027,Stainless steel,Bar,Round,,28,mm,,,,28,,,,1.825,,,m,,242.36,0.14,387.9885965
2020,SST00028,Stainless steel,Bar,Round,,30,mm,,,,30,,,,0,,,m,,283.86,0.14,0
2020,SST00029,Stainless steel,Bar,Round,,32,mm,,,,32,,,,2.615,,,m,,291.84,0.14,669.44
2020,SST00030,Stainless steel,Bar,Round,,38,mm,,,,38,,,,5.075,,,m,,462.84,0.14,2060.45
2020,SST00032,Stainless steel,Bar,Round,,50,mm,,,,50,,,,0,,,m,,784.32,0.14,0
2020,SST00033,Stainless steel,Bar,Round,,65,mm,,,,65,,,,0.13,,,m,,1299.03,0.14,148.135
2020,TFL00001,Teflon,Bar,Round,,6,mm,,,,6,,,,0,,,m,,29.98,0.14,0
2020,TFL00002,Teflon,Bar,Round,,7,mm,,,,7,,,,0.92,,,m,,44.96,0.14,36.28350877
2020,TFL00003,Teflon,Bar,Round,,8,mm,,,,8,,,,2.82,,,m,,44.96,0.14,111.2168421
2020,TFL00004,Teflon,Bar,Round,,10,mm,,,,10,,,,2.95,,,m,,56.95,0.14,147.370614
2020,TFL00005,Teflon,Bar,Round,,16,mm,,,,16,,,,0,,,m,,143.89,0.14,0
2020,TFL00006,Teflon,Bar,Round,,20,mm,,,,20,,,,0,,,m,,224.83,0.14,0
2020,TFL00007,Teflon,Bar,Round,,60,mm,,,,60,,,,0.305,,,m,,1922.19,0.14,514.2701316
2020,TFN00001,Tufnol,Bar,Round,,50,mm,,,,50,,,,0.335,,,m,,651.32,0.14,191.3966667
2020,TFN00002,Tufnol,Bar,Round,,70,mm,,,,70,,,,0.11,,,m,,1611.34,0.14,155.4801754
2020,ALM00034,Aluminium,Bar,Square,,6.35 x 6.35,mm,,,,6.35,6.35,,,8.18,,,m,,10.33,0.14,74.1222807
